Model,Language,Group,Statement ID,Axis Name,Formulation Key,Choice Set,Response,Score,Run
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4'](de)",3,25,Run 1
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4'](de)",2,75,Run 1
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme eher zu,75,Run 1
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme eher zu,75,Run 1
gpt,de,Kurden,statement10,Empathie,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Kurden,statement10,Empathie,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement10,Empathie,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement10,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement10,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement11,Empathie,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement11,Empathie,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement11,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement11,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement12,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Kurden,statement12,Empathie,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement12,Empathie,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement12,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement12,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme eher zu,75,Run 1
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Nein,0,Run 1
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4'](de)",4,0,Run 1
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4'](de)",4,0,Run 1
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Nein,25,Run 1
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4'](de)",4,0,Run 1
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4'](de)",3,25,Run 1
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme eher nicht zu,25,Run 1
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme eher zu,75,Run 1
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4'](de)",2,75,Run 1
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4'](de)",3,25,Run 1
gpt,de,Palästinenser,statement10,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement10,Empathie,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement10,Empathie,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement10,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement10,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement11,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement11,Empathie,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement11,Empathie,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement11,Empathie,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement11,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement11,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement12,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement12,Empathie,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement12,Empathie,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement12,Empathie,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement12,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Eher Ja,75,Run 1
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein'](de)",Ja,100,Run 1
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation2,"['1', '2', '3', '4'](de)",1,100,Run 1
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu'](de)",Stimme zu,100,Run 1
gpt,de,Uiguren,statement4,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4'](de)",1,100,Run 1
