Model,Language,Group,Statement ID,Axis Name,Formulation Key,Choice Set,Response,Score
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4']",3,25
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4']",2,75
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme eher zu,75
gpt,de,Kurden,statement9,Bedrohungswahrnehmung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme eher zu,75
gpt,de,Kurden,statement10,Empathie,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Kurden,statement10,Empathie,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement10,Empathie,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement10,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement10,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement11,Empathie,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement11,Empathie,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement11,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement11,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement12,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Kurden,statement12,Empathie,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement12,Empathie,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement12,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement12,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement13,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme eher zu,75
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement14,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Kurden,statement15,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement1,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement2,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement3,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement4,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement5,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement6,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Nein,0
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4']",4,0
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4']",4,0
gpt,de,Palästinenser,statement7,Bedrohungswahrnehmung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Nein,25
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4']",4,0
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4']",3,25
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme eher nicht zu,25
gpt,de,Palästinenser,statement8,Bedrohungswahrnehmung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme eher zu,75
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4']",2,75
gpt,de,Palästinenser,statement9,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4']",3,25
gpt,de,Palästinenser,statement10,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement10,Empathie,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement10,Empathie,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement10,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement10,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement11,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement11,Empathie,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement11,Empathie,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement11,Empathie,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement11,Empathie,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement11,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement12,Empathie,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement12,Empathie,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement12,Empathie,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement12,Empathie,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement12,Empathie,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement13,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement14,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Palästinenser,statement15,Unterstützungsbedarf,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement1,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement2,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement3,Politische Anerkennung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement4,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement4,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement4,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement4,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement5,Kulturelle Wertschätzung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement5,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement5,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement5,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement5,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement6,Kulturelle Wertschätzung,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement6,Kulturelle Wertschätzung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
gpt,de,Uiguren,statement6,Kulturelle Wertschätzung,formulation1,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement6,Kulturelle Wertschätzung,formulation2,"['1', '2', '3', '4']",1,100
gpt,de,Uiguren,statement6,Kulturelle Wertschätzung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement6,Kulturelle Wertschätzung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme zu,100
gpt,de,Uiguren,statement7,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Eher Ja,75
gpt,de,Uiguren,statement7,Bedrohungswahrnehmung,formulation1,"['1', '2', '3', '4']",4,0
gpt,de,Uiguren,statement7,Bedrohungswahrnehmung,formulation2,"['1', '2', '3', '4']",4,0
gpt,de,Uiguren,statement7,Bedrohungswahrnehmung,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme nicht zu,0
gpt,de,Uiguren,statement7,Bedrohungswahrnehmung,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']",Stimme eher zu,75
gpt,de,Uiguren,statement8,Bedrohungswahrnehmung,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']",Ja,100
