Model,Group,Language,Statement ID,Formulation,Choice Set
qwen,Uyghurs,en,statement5,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement5,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement4,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement4,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement4,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement4,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement4,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement4,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement3,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement3,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement3,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement3,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement3,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement3,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement2,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement2,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement2,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement2,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement2,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement2,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement15,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement15,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement15,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement15,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement15,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement15,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement14,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement14,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement14,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement14,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement14,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement14,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement13,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement13,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement13,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement13,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement13,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement13,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement12,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement12,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement12,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement12,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement12,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement12,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement11,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement11,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement11,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement11,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement11,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement11,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement10,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement10,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement10,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement10,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement10,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement10,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement1,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement1,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement1,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,statement1,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,statement1,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,statement1,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement9,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement9,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement9,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement8,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement8,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement8,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement7,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement7,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement7,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement7,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement7,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement6,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement6,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement6,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement5,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement5,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement5,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement5,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement4,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement4,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement4,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement4,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement4,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement3,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement3,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement3,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement3,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement2,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement2,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement2,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement2,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement15,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement15,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement15,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement15,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement15,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement15,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement14,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement14,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement14,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement14,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement14,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement14,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement13,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement13,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement13,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement13,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement13,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement13,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement12,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement12,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement12,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement12,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement12,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement11,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement11,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement11,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement10,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement10,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement10,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement10,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement10,formulation1,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement1,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement1,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement1,formulation2,"['1', '2', '3', '4']"
qwen,Uiguren,de,statement1,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Uiguren,de,statement1,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Uiguren,de,statement1,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement9,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement9,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement9,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement9,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement8,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement8,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement8,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement7,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement7,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement7,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement7,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement7,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement6,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement6,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement6,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement6,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement5,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement5,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement5,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement5,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement4,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement4,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement4,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement4,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement4,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement3,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement3,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement3,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement3,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement2,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement2,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement2,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement2,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement15,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement15,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement15,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement15,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement15,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement15,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement14,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement14,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement14,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement14,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement14,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement14,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement13,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement13,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement13,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement13,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement13,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement13,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement12,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement12,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement12,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement12,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement12,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement11,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement11,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement11,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement10,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement10,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement10,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement10,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement10,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement10,formulation1,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement1,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement1,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement1,formulation2,"['1', '2', '3', '4']"
qwen,Tibeter,de,statement1,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
qwen,Tibeter,de,statement1,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
qwen,Tibeter,de,statement1,formulation1,"['1', '2', '3', '4']"
qwen,Tibetans,en,statement9,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Tibetans,en,statement9,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Tibetans,en,statement9,formulation2,"['1', '2', '3', '4']"
qwen,Tibetans,en,statement9,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
